0x1113, NtGdiRemoveFontMemResourceEx
0x1116, ZwGdiExtEscape
0x1117, ZwGdiSetBitmapDimension
0x1118, ZwGdiSetFontEnumeration
0x111b, ZwUserShowWindowAsync
0x111c, NtGdiCreateColorSpace
0x111d, NtGdiDeleteColorSpace
0x111f, ZwGdiAbortDoc
0x1120, ZwGdiAbortPath
0x1121, NtGdiAddEmbFontToDC
0x1122, ZwGdiAddFontResourceW
0x1123, NtGdiAddRemoteFontToDC
0x1124, ZwGdiAddRemoteMMInstanceToDC
0x1125, ZwGdiAngleArc
0x1126, ZwGdiAnyLinkedFonts
0x1127, NtGdiArcInternal
0x1128, NtGdiBRUSHOBJ_DeleteRbrush
0x1129, NtGdiBRUSHOBJ_hGetColorTransform
0x112a, ZwGdiBRUSHOBJ_pvAllocRbrush
0x112b, NtGdiBRUSHOBJ_pvGetRbrush
0x112c, ZwGdiBRUSHOBJ_ulGetBrushColor
0x112d, NtGdiBeginGdiRendering
0x112e, NtGdiCLIPOBJ_bEnum
0x112f, NtGdiCLIPOBJ_cEnumStart
0x1130, ZwGdiCLIPOBJ_ppoGetPath
0x1131, ZwGdiCancelDC
0x1132, ZwGdiChangeGhostFont
0x1133, ZwGdiCheckBitmapBits
0x1134, NtGdiClearBitmapAttributes
0x1135, ZwGdiClearBrushAttributes
0x1136, ZwGdiColorCorrectPalette
0x1137, NtGdiConfigureOPMProtectedOutput
0x1138, ZwGdiConvertMetafileRect
0x1139, NtGdiCreateBitmapFromDxSurface
0x113a, ZwGdiCreateColorTransform
0x113b, ZwGdiCreateEllipticRgn
0x113c, ZwGdiCreateHatchBrushInternal
0x113d, NtGdiCreateMetafileDC
0x113e, NtGdiCreateOPMProtectedOutputs
0x113f, ZwGdiCreateRoundRectRgn
0x1140, ZwGdiCreateServerMetaFile
0x1141, ZwGdiD3dContextCreate
0x1142, ZwGdiD3dContextDestroy
0x1143, ZwGdiD3dContextDestroyAll
0x1144, NtGdiD3dValidateTextureStageState
0x1145, NtGdiDDCCIGetCapabilitiesString
0x1146, ZwGdiDDCCIGetCapabilitiesStringLength
0x1147, ZwGdiDDCCIGetTimingReport
0x1148, NtGdiDDCCIGetVCPFeature
0x1149, ZwGdiDDCCISaveCurrentSettings
0x114a, ZwGdiDDCCISetVCPFeature
0x114b, NtGdiDdAddAttachedSurface
0x114c, ZwGdiDdAlphaBlt
0x114d, ZwGdiDdAttachSurface
0x114e, ZwGdiDdBeginMoCompFrame
0x114f, NtGdiDdCanCreateD3DBuffer
0x1150, ZwGdiDdColorControl
0x1151, ZwGdiDdCreateD3DBuffer
0x1152, ZwGdiDdCreateDirectDrawObject
0x1153, NtGdiDdCreateFullscreenSprite
0x1154, ZwGdiDdCreateMoComp
0x1155, NtGdiDdDDIAcquireKeyedMutex
0x1156, NtGdiDdDDICheckExclusiveOwnership
0x1157, ZwGdiDdDDICheckMonitorPowerState
0x1158, ZwGdiDdDDICheckOcclusion
0x1159, NtGdiDdDDICheckSharedResourceAccess
0x115a, NtGdiDdDDICheckVidPnExclusiveOwnership
0x115b, NtGdiDdDDICloseAdapter
0x115c, ZwGdiDdDDIConfigureSharedResource
0x115d, NtGdiDdDDICreateAllocation
0x115e, NtGdiDdDDICreateContext
0x115f, ZwGdiDdDDICreateDCFromMemory
0x1160, NtGdiDdDDICreateDevice
0x1161, ZwGdiDdDDICreateKeyedMutex
0x1162, ZwGdiDdDDICreateOverlay
0x1163, ZwGdiDdDDICreateSynchronizationObject
0x1164, ZwGdiDdDDIDestroyAllocation
